"term","freq","s1","s2","s3","prob"
"us a little",5,"us","a","little",0.0314465408805031
"us at booth",5,"us","at","booth",0.0347222222222222
"us attorneys office",5,"us","attorneys","office",0.833333333333333
"us every day",5,"us","every","day",0.625
"us for this",5,"us","for","this",0.0381679389312977
"us get there",5,"us","get","there",0.172413793103448
"us have a",5,"us","have","a",0.135135135135135
"us it was",5,"us","it","was",0.192307692307692
"us not to",5,"us","not","to",0.277777777777778
"us of the",5,"us","of","the",0.277777777777778
"us on a",5,"us","on","a",0.0396825396825397
"us out and",5,"us","out","and",0.0490196078431373
"us out on",5,"us","out","on",0.0490196078431373
"us that it",5,"us","that","it",0.0555555555555556
"us this year",5,"us","this","year",0.0925925925925926
"us to some",5,"us","to","some",0.0131926121372032
"us to use",5,"us","to","use",0.0131926121372032
"us up for",5,"us","up","for",0.0961538461538462
"us up to",5,"us","up","to",0.0961538461538462
"us up with",5,"us","up","with",0.0961538461538462
"us where we",5,"us","where","we",0.454545454545455
"us while we",5,"us","while","we",0.625
"use a little",5,"use","a","little",0.0337837837837838
"use it all",5,"use","it","all",0.0297619047619048
"use of my",5,"use","of","my",0.0211864406779661
"use of tech",5,"use","of","tech",0.0211864406779661
"use social media",5,"use","social","media",1
"use to describe",5,"use","to","describe",0.0420168067226891
"use to have",5,"use","to","have",0.0420168067226891
"used for the",5,"used","for","the",0.0806451612903226
"used in this",5,"used","in","this",0.0442477876106195
"used on the",5,"used","on","the",0.227272727272727
"used one of",5,"used","one","of",0.714285714285714
"used to describe",5,"used","to","describe",0.00722543352601156
"used to this",5,"used","to","this",0.00722543352601156
"using it for",5,"using","it","for",0.0909090909090909
"valentine's day to",5,"valentine's","day","to",0.0694444444444444
"valentines day to",5,"valentines","day","to",0.0909090909090909
"valley of the",5,"valley","of","the",0.625
"variety of different",5,"variety","of","different",0.040650406504065
"various parts of",5,"various","parts","of",0.833333333333333
"varying degrees of",5,"varying","degrees","of",0.714285714285714
"very familiar with",5,"very","familiar","with",0.555555555555556
"very grateful for",5,"very","grateful","for",0.454545454545455
"very important for",5,"very","important","for",0.0735294117647059
"very little to",5,"very","little","to",0.0649350649350649
"very thankful for",5,"very","thankful","for",0.555555555555556
"very top of",5,"very","top","of",1
"very very good",5,"very","very","good",0.0657894736842105
"very very much",5,"very","very","much",0.0657894736842105
"very well said",5,"very","well","said",0.0420168067226891
"video of a",5,"video","of","a",0.0819672131147541
"video of you",5,"video","of","you",0.0819672131147541
"visit my website",5,"visit","my","website",0.161290322580645
"visit the link",5,"visit","the","link",0.0757575757575758
"visit to a",5,"visit","to","a",0.078125
"visit with the",5,"visit","with","the",0.192307692307692
"visit wwwradiotagrcomwfuv to",5,"visit","wwwradiotagrcomwfuv","to",1
"voice to the",5,"voice","to","the",0.2
"vote for him",5,"vote","for","him",0.045045045045045
"w th st",5,"w","th","st",0.625
"wait for more",5,"wait","for","more",0.0125628140703518
"wait for next",5,"wait","for","next",0.0125628140703518
"wait for them",5,"wait","for","them",0.0125628140703518
"wait in the",5,"wait","in","the",0.454545454545455
"wait til i",5,"wait","til","i",0.147058823529412
"wait till summer",5,"wait","till","summer",0.0561797752808989
"wait till the",5,"wait","till","the",0.0561797752808989
"wait to work",5,"wait","to","work",0.00755287009063444
"wait wait wait",5,"wait","wait","wait",0.357142857142857
"waited for the",5,"waited","for","the",0.147058823529412
"waiting for our",5,"waiting","for","our",0.0127226463104326
"waiting for something",5,"waiting","for","something",0.0127226463104326
"waiting for them",5,"waiting","for","them",0.0127226463104326
"wake up on",5,"wake","up","on",0.0203252032520325
"waking up and",5,"waking","up","and",0.0555555555555556
"waking up early",5,"waking","up","early",0.0555555555555556
"waking up from",5,"waking","up","from",0.0555555555555556
"walk around and",5,"walk","around","and",0.111111111111111
"walk around in",5,"walk","around","in",0.111111111111111
"walk out of",5,"walk","out","of",0.178571428571429
"walked down the",5,"walked","down","the",0.833333333333333
"walked into my",5,"walked","into","my",0.2
"walked to the",5,"walked","to","the",0.263157894736842
"walking around with",5,"walking","around","with",0.111111111111111
"wall to wall",5,"wall","to","wall",0.454545454545455
"wandered through the",5,"wandered","through","the",1
"wanna be a",5,"wanna","be","a",0.0537634408602151
"wanna be in",5,"wanna","be","in",0.0537634408602151
"wanna get a",5,"wanna","get","a",0.116279069767442
"wanna get my",5,"wanna","get","my",0.116279069767442
"wanna get out",5,"wanna","get","out",0.116279069767442
"wanna have a",5,"wanna","have","a",0.384615384615385
"wanna see it",5,"wanna","see","it",0.072463768115942
"wanna talk about",5,"wanna","talk","about",0.238095238095238
"want a new",5,"want","a","new",0.0216450216450216
"want any of",5,"want","any","of",0.333333333333333
"want in life",5,"want","in","life",0.15625
"want in the",5,"want","in","the",0.15625
"want it all",5,"want","it","all",0.0427350427350427
"want it just",5,"want","it","just",0.0427350427350427
"want more followers",5,"want","more","followers",0.113636363636364
"want to discuss",5,"want","to","discuss",0.00163988192850115
"want to end",5,"want","to","end",0.00163988192850115
"want to finish",5,"want","to","finish",0.00163988192850115
"want to grow",5,"want","to","grow",0.00163988192850115
"want to pass",5,"want","to","pass",0.00163988192850115
"want to pay",5,"want","to","pay",0.00163988192850115
"want to push",5,"want","to","push",0.00163988192850115
"want to re",5,"want","to","re",0.00163988192850115
"want to risk",5,"want","to","risk",0.00163988192850115
"want to save",5,"want","to","save",0.00163988192850115
"want to succeed",5,"want","to","succeed",0.00163988192850115
"want to support",5,"want","to","support",0.00163988192850115
"want to travel",5,"want","to","travel",0.00163988192850115
"want to understand",5,"want","to","understand",0.00163988192850115
"want to visit",5,"want","to","visit",0.00163988192850115
"want to wake",5,"want","to","wake",0.00163988192850115
"want to walk",5,"want","to","walk",0.00163988192850115
"want u to",5,"want","u","to",0.625
"want you so",5,"want","you","so",0.0333333333333333
"wanted to buy",5,"wanted","to","buy",0.00579374275782155
"wanted to change",5,"wanted","to","change",0.00579374275782155
"wanted to sleep",5,"wanted","to","sleep",0.00579374275782155
"wanted to throw",5,"wanted","to","throw",0.00579374275782155
"wanting to do",5,"wanting","to","do",0.0387596899224806
"wanting to get",5,"wanting","to","get",0.0387596899224806
"wanting to make",5,"wanting","to","make",0.0387596899224806
"wanting to see",5,"wanting","to","see",0.0387596899224806
"wants a new",5,"wants","a","new",0.125
"wants to help",5,"wants","to","help",0.0106837606837607
"wants to make",5,"wants","to","make",0.0106837606837607
"war between the",5,"war","between","the",0.555555555555556
"war on the",5,"war","on","the",0.138888888888889
"war with the",5,"war","with","the",0.294117647058824
"warm and sunny",5,"warm","and","sunny",0.108695652173913
"warm enough to",5,"warm","enough","to",0.833333333333333
"warm up with",5,"warm","up","with",0.151515151515152
"wars day may",5,"wars","day","may",0.384615384615385
"was a complete",5,"was","a","complete",0.00214961306964746
"was a cute",5,"was","a","cute",0.00214961306964746
"was a different",5,"was","a","different",0.00214961306964746
"was a dream",5,"was","a","dream",0.00214961306964746
"was a fan",5,"was","a","fan",0.00214961306964746
"was a hit",5,"was","a","hit",0.00214961306964746
"was a mess",5,"was","a","mess",0.00214961306964746
"was a no",5,"was","a","no",0.00214961306964746
"was a part",5,"was","a","part",0.00214961306964746
"was a problem",5,"was","a","problem",0.00214961306964746
"was a short",5,"was","a","short",0.00214961306964746
"was a sign",5,"was","a","sign",0.00214961306964746
"was a waste",5,"was","a","waste",0.00214961306964746
"was about half",5,"was","about","half",0.0324675324675325
"was accused of",5,"was","accused","of",0.714285714285714
"was actually pretty",5,"was","actually","pretty",0.0769230769230769
"was after all",5,"was","after","all",0.277777777777778
"was all that",5,"was","all","that",0.034965034965035
"was allowed to",5,"was","allowed","to",0.714285714285714
"was already in",5,"was","already","in",0.0847457627118644
"was amazing so",5,"was","amazing","so",0.0485436893203883
"was amazing thank",5,"was","amazing","thank",0.0485436893203883
"was an accident",5,"was","an","accident",0.0164473684210526
"was an experience",5,"was","an","experience",0.0164473684210526
"was awarded the",5,"was","awarded","the",0.833333333333333
"was backed up",5,"was","backed","up",0.833333333333333
"was because he",5,"was","because","he",0.138888888888889
"was because the",5,"was","because","the",0.138888888888889
"was brought in",5,"was","brought","in",0.25
"was built in",5,"was","built","in",0.238095238095238
"was called the",5,"was","called","the",0.119047619047619
"was capable of",5,"was","capable","of",0.714285714285714
"was considered a",5,"was","considered","a",0.25
"was convicted of",5,"was","convicted","of",0.714285714285714
"was definitely the",5,"was","definitely","the",0.116279069767442
"was distracted by",5,"was","distracted","by",1
"was done with",5,"was","done","with",0.0925925925925926
"was expecting a",5,"was","expecting","a",0.238095238095238
"was fine but",5,"was","fine","but",0.2
"was first published",5,"was","first","published",0.166666666666667
"was for them",5,"was","for","them",0.0617283950617284
"was given to",5,"was","given","to",0.0746268656716418
"was gonna go",5,"was","gonna","go",0.138888888888889
"was good seeing",5,"was","good","seeing",0.0423728813559322
"was great and",5,"was","great","and",0.0326797385620915
"was here to",5,"was","here","to",0.111111111111111
"was how much",5,"was","how","much",0.166666666666667
"was i had",5,"was","i","had",0.0403225806451613
"was impossible to",5,"was","impossible","to",0.833333333333333
"was impressed by",5,"was","impressed","by",0.384615384615385
"was in an",5,"was","in","an",0.00957854406130268
"was in and",5,"was","in","and",0.00957854406130268
"was in college",5,"was","in","college",0.00957854406130268
"was in love",5,"was","in","love",0.00957854406130268
"was in town",5,"was","in","town",0.00957854406130268
"was indeed a",5,"was","indeed","a",0.238095238095238
"was it that",5,"was","it","that",0.0352112676056338
"was it the",5,"was","it","the",0.0352112676056338
"was it worth",5,"was","it","worth",0.0352112676056338
"was just another",5,"was","just","another",0.0119904076738609
"was just going",5,"was","just","going",0.0119904076738609
"was just like",5,"was","just","like",0.0119904076738609
"was just on",5,"was","just","on",0.0119904076738609
"was just there",5,"was","just","there",0.0119904076738609
"was like that",5,"was","like","that",0.0271739130434783
"was like wtf",5,"was","like","wtf",0.0271739130434783
"was lots of",5,"was","lots","of",1
"was made in",5,"was","made","in",0.0595238095238095
"was made with",5,"was","made","with",0.0595238095238095
"was making the",5,"was","making","the",0.128205128205128
"was me and",5,"was","me","and",0.161290322580645
"was more like",5,"was","more","like",0.0485436893203883
"was more to",5,"was","more","to",0.0485436893203883
"was my last",5,"was","my","last",0.0232558139534884
"was nice and",5,"was","nice","and",0.0675675675675676
"was nice meeting",5,"was","nice","meeting",0.0675675675675676
"was no different",5,"was","no","different",0.0257731958762887
"was not able",5,"was","not","able",0.00982318271119843
"was not for",5,"was","not","for",0.00982318271119843
"was not just",5,"was","not","just",0.00982318271119843
"was not one",5,"was","not","one",0.00982318271119843
"was not quite",5,"was","not","quite",0.00982318271119843
"was not yet",5,"was","not","yet",0.00982318271119843
"was nowhere to",5,"was","nowhere","to",0.714285714285714
"was ok to",5,"was","ok","to",0.208333333333333
"was on his",5,"was","on","his",0.0188679245283019
"was on point",5,"was","on","point",0.0188679245283019
"was over and",5,"was","over","and",0.0980392156862745
"was over the",5,"was","over","the",0.0980392156862745
"was perfect for",5,"was","perfect","for",0.142857142857143
"was put in",5,"was","put","in",0.25
"was raised by",5,"was","raised","by",0.333333333333333
"was raised in",5,"was","raised","in",0.333333333333333
"was really excited",5,"was","really","excited",0.027027027027027
"was really nice",5,"was","really","nice",0.027027027027027
"was really really",5,"was","really","really",0.027027027027027
"was really the",5,"was","really","the",0.027027027027027
